No.,Time,Source,Destination,Protocol,Length,Info
5487,11.731389,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5491,11.755704,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5501,11.822572,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5505,11.842755,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5510,11.84389,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5520,11.856595,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5529,11.911318,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5530,11.913854,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5533,11.92391,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5537,11.92782,192.168.1.2,91.108.23.100,HTTP,222,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5546,11.975671,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5547,11.977481,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5550,11.987881,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5554,11.991829,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5562,12.042699,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5563,12.042943,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5572,12.054742,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5576,12.061842,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5583,12.106727,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5587,12.11702,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5588,12.118487,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5592,12.128711,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5602,12.167745,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5606,12.176736,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5612,12.17881,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5616,12.187663,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5620,12.227383,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5623,12.238851,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5624,12.239486,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5628,12.247772,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5638,12.293114,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5642,12.304076,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5647,12.306497,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5652,12.31688,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5662,12.354782,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5665,12.364723,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5667,12.367416,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5670,12.376743,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5677,12.426827,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5680,12.435678,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5682,12.443084,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5693,12.454734,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5698,12.485584,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5701,12.494983,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5703,12.506086,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5708,12.517454,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5710,12.546583,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5719,12.55662,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5721,12.573078,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5729,12.583778,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5732,12.609045,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5741,12.618647,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5745,12.636082,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5748,12.645827,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5756,12.669659,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5759,12.679689,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5762,12.699095,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5765,12.708788,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5773,12.731634,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5778,12.742828,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5787,12.766882,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5791,12.776716,192.168.1.2,91.108.23.100,HTTP,222,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5800,12.815189,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5804,12.825814,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5806,12.856213,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5819,12.869748,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5822,12.883452,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5825,12.893725,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5832,12.946843,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5835,12.956952,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5843,12.966495,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5851,12.976806,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5855,13.010151,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5859,13.020801,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5862,13.030214,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5866,13.040721,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5874,13.074739,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5881,13.09189,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5883,13.10098,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5886,13.11186,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5891,13.150104,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5900,13.159687,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5902,13.169142,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5905,13.178927,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5907,13.210681,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5916,13.222612,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5922,13.231064,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5925,13.240718,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5936,13.277169,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5949,13.290631,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5966,13.307461,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5974,13.319788,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5984,13.360591,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5995,13.375066,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5996,13.375132,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6009,13.386197,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6014,13.426795,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6019,13.436839,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6021,13.438684,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6025,13.448917,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6042,13.501531,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6043,13.502084,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6048,13.515629,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6054,13.518825,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6098,13.565661,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6099,13.570577,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6107,13.575808,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6111,13.582847,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6139,13.628384,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6142,13.637889,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6145,13.644337,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6150,13.653642,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6168,13.695861,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6172,13.706803,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6175,13.720657,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6179,13.730859,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6192,13.762727,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6202,13.775226,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6205,13.785755,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6209,13.796673,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6219,13.8357,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6228,13.84768,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6229,13.847767,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6233,13.857699,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6248,13.899421,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6250,13.909873,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6254,13.91506,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6258,13.919676,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6276,13.97836,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6277,13.980643,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6284,13.996807,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6285,13.996835,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6296,14.053284,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6297,14.053284,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6305,14.067749,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6311,14.070871,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6321,14.12966,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6322,14.129795,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6326,14.142715,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6330,14.144788,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6346,14.195891,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6347,14.196611,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6353,14.208714,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6357,14.211714,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6364,14.258816,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6372,14.27062,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6375,14.272514,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6382,14.286065,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6412,14.324911,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6416,14.3359,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6417,14.336708,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6422,14.348012,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6441,14.387825,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6446,14.397968,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6448,14.412027,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6453,14.423231,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6468,14.449728,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6473,14.463155,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6485,14.477226,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6489,14.491369,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6493,14.512833,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6497,14.52292,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6502,14.541926,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6507,14.551591,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6516,14.57683,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6528,14.591704,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6531,14.603368,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6535,14.613775,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6541,14.644904,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6544,14.656054,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6560,14.694662,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6563,14.704661,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6566,14.730498,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6571,14.74048,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6574,14.756205,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6577,14.766721,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6585,14.791257,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6588,14.800982,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6590,14.82447,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6599,14.836605,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6603,14.852254,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6607,14.863783,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6615,14.88765,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6619,14.89777,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6621,14.91477,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6624,14.930762,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6631,14.957483,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6634,14.966904,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6642,14.99012,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6651,15.006748,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6655,15.019697,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6661,15.034691,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6669,15.060987,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6674,15.075567,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6685,15.113022,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6689,15.122665,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6693,15.147191,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6698,15.158766,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6712,15.184191,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6715,15.194849,192.168.1.2,91.108.23.100,HTTP,190,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6718,15.211485,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6721,15.230364,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6724,15.25225,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6728,15.265993,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6742,15.283258,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6745,15.294728,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6748,15.317552,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6751,15.327782,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6755,15.344543,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6758,15.354627,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6766,15.380158,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6769,15.394211,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6771,15.405582,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6774,15.415245,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6782,15.446983,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6785,15.456825,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6787,15.467132,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6792,15.482272,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6800,15.511016,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
6803,15.52131,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
6805,15.537484,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
8939,39.073014,192.168.1.3,202.88.156.152,HTTP,419,GET /roots/dstrootcax3.p7c HTTP/1.1 
8941,39.074873,202.88.156.152,192.168.1.3,HTTP,324,HTTP/1.1 304 Not Modified 
8994,39.094064,192.168.1.3,23.35.7.133,HTTP,389,GET / HTTP/1.1 
8996,39.097982,23.35.7.133,192.168.1.3,HTTP,318,HTTP/1.1 304 Not Modified 
9320,55.454807,192.168.1.3,184.84.109.14,HTTP,455,GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBRr2bwARTxMtEy9aspRAZg5QFhagQQUgrrWPZfOn89x6JI3r%2F2ztWk1V88CEDWvt3udNB9q%2FI%2BERqsxNSs%3D HTTP/1.1 
9322,55.461507,184.84.109.14,192.168.1.3,HTTP,413,HTTP/1.1 304 Not Modified 
9328,55.485691,192.168.1.3,23.35.7.133,HTTP,281,GET / HTTP/1.1 
9330,55.491073,23.35.7.133,192.168.1.3,PKIX-CRL,1060,Certificate Revocation List
9339,55.534965,192.168.1.3,111.119.15.0,HTTP,336,GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab?7d80e27effe56185 HTTP/1.1 
9342,55.559812,111.119.15.0,192.168.1.3,HTTP,306,HTTP/1.1 304 Not Modified 
11704,110.952995,192.168.1.3,163.182.194.25,HTTP,754,POST /login/login_results.asp HTTP/1.1  (application/x-www-form-urlencoded)
11745,111.220529,163.182.194.25,192.168.1.3,HTTP,143,HTTP/1.1 100 Continue 
11747,111.481806,163.182.194.25,192.168.1.3,HTTP,376,HTTP/1.1 200 OK  (text/html)
17976,387.270033,192.168.1.3,111.119.15.0,HTTP,340,GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?150b26bccec8eabd HTTP/1.1 
17978,387.298192,111.119.15.0,192.168.1.3,HTTP,309,HTTP/1.1 304 Not Modified 
17988,387.545942,192.168.1.3,23.35.7.133,HTTP,281,GET / HTTP/1.1 
17990,387.549792,23.35.7.133,192.168.1.3,HTTP,317,HTTP/1.1 304 Not Modified 
17995,387.598475,192.168.1.3,111.119.15.0,HTTP,340,GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?fc14209afebaab0e HTTP/1.1 
17997,387.626622,111.119.15.0,192.168.1.3,HTTP,309,HTTP/1.1 304 Not Modified 
18618,409.484571,192.168.1.3,23.193.56.43,HTTP,372,GET /filestreamingservice//files/9e7e9486-b756-4d8c-a96c-810e32c91ce4/pieceshash HTTP/1.1 
18620,409.489078,23.193.56.43,192.168.1.3,HTTP,1231,HTTP/1.1 200 OK 
18628,409.557944,192.168.1.3,23.193.56.19,HTTP,509,GET /filestreamingservice/files/9e7e9486-b756-4d8c-a96c-810e32c91ce4?P1=1699630427&P2=404&P3=2&P4=aTwyME8jRnHxHcoZJGPrT%2bxp1SrTckUOYC%2fiD2YRr4aZyft6WN%2b3CZVbrDN4HIqrTuxFpce9q8iJQVEZ%2byg4dQ%3d%3d HTTP/1.1 
18632,409.561138,23.193.56.19,192.168.1.3,HTTP,691,HTTP/1.1 403 Forbidden  (text/html)
18725,415.15136,192.168.1.3,23.193.56.51,HTTP,505,GET /filestreamingservice/files/9e7e9486-b756-4d8c-a96c-810e32c91ce4?P1=1699935676&P2=404&P3=2&P4=MmD%2fkqUhQ02eLA%2f66fnTZvJMYWfHiMGrZK71twldTjIV8RReCpW9zCwZf8wjgzHPYWbTQGL0093TKziF8YA6FQ%3d%3d HTTP/1.1 
18989,417.590365,192.168.1.3,23.193.56.43,HTTP,369,GET /filestreamingservice//files/7ca64207-b3ac-4a02-92bb-9422bddf666b/pieceshash HTTP/1.1 
19009,417.598557,23.193.56.43,192.168.1.3,HTTP,1063,HTTP/1.1 200 OK 
19027,417.661559,192.168.1.3,23.193.56.19,HTTP,506,GET /filestreamingservice/files/7ca64207-b3ac-4a02-92bb-9422bddf666b?P1=1699876868&P2=404&P3=2&P4=dGCsjdAyLNPK7PMCIUzb1ggCqQKoVL8jInct%2bbuKSNP2ZFfnSIRMvYxNmuyt%2bmQX9mwnO0JZygEJbnsbHKGT1w%3d%3d HTTP/1.1 
19029,417.666788,23.193.56.19,192.168.1.3,HTTP,691,HTTP/1.1 403 Forbidden  (text/html)
